priceUsd,time,date,asset_name
3494.141847033844,1649116800000,2022-04-05 00:00:00+00:00,ethereum
3296.005873284106,1649203200000,2022-04-06 00:00:00+00:00,ethereum
3218.9694740940195,1649289600000,2022-04-07 00:00:00+00:00,ethereum
3259.206581054884,1649376000000,2022-04-08 00:00:00+00:00,ethereum
3225.9267940764316,1649462400000,2022-04-09 00:00:00+00:00,ethereum
3265.3065913667488,1649548800000,2022-04-10 00:00:00+00:00,ethereum
3092.3253234865083,1649635200000,2022-04-11 00:00:00+00:00,ethereum
3017.0148785746587,1649721600000,2022-04-12 00:00:00+00:00,ethereum
3086.624433049155,1649808000000,2022-04-13 00:00:00+00:00,ethereum
3072.7230643955254,1649894400000,2022-04-14 00:00:00+00:00,ethereum
3031.701635741596,1649980800000,2022-04-15 00:00:00+00:00,ethereum
3044.4111058552344,1650067200000,2022-04-16 00:00:00+00:00,ethereum
3052.9144448553866,1650153600000,2022-04-17 00:00:00+00:00,ethereum
2964.8482406257867,1650240000000,2022-04-18 00:00:00+00:00,ethereum
3075.237214538253,1650326400000,2022-04-19 00:00:00+00:00,ethereum
3095.1448431091167,1650412800000,2022-04-20 00:00:00+00:00,ethereum
3088.085690133715,1650499200000,2022-04-21 00:00:00+00:00,ethereum
2989.1172021418806,1650585600000,2022-04-22 00:00:00+00:00,ethereum
2963.293589127085,1650672000000,2022-04-23 00:00:00+00:00,ethereum
2948.2461796222833,1650758400000,2022-04-24 00:00:00+00:00,ethereum
2895.8881929927215,1650844800000,2022-04-25 00:00:00+00:00,ethereum
2941.9786502939382,1650931200000,2022-04-26 00:00:00+00:00,ethereum
2866.271759790127,1651017600000,2022-04-27 00:00:00+00:00,ethereum
2915.917804519161,1651104000000,2022-04-28 00:00:00+00:00,ethereum
2873.9648772551086,1651190400000,2022-04-29 00:00:00+00:00,ethereum
2816.684063643016,1651276800000,2022-04-30 00:00:00+00:00,ethereum
2786.4345052383783,1651363200000,2022-05-01 00:00:00+00:00,ethereum
2837.767428220396,1651449600000,2022-05-02 00:00:00+00:00,ethereum
2825.037418931872,1651536000000,2022-05-03 00:00:00+00:00,ethereum
2853.800677955077,1651622400000,2022-05-04 00:00:00+00:00,ethereum
2863.4955615200565,1651708800000,2022-05-05 00:00:00+00:00,ethereum
2714.763043618344,1651795200000,2022-05-06 00:00:00+00:00,ethereum
2682.2363039507136,1651881600000,2022-05-07 00:00:00+00:00,ethereum
2565.067298862844,1651968000000,2022-05-08 00:00:00+00:00,ethereum
2401.659737224528,1652054400000,2022-05-09 00:00:00+00:00,ethereum
2360.8377879341697,1652140800000,2022-05-10 00:00:00+00:00,ethereum
2281.6148909114486,1652227200000,2022-05-11 00:00:00+00:00,ethereum
1947.8829319551012,1652313600000,2022-05-12 00:00:00+00:00,ethereum
2072.4339285492847,1652400000000,2022-05-13 00:00:00+00:00,ethereum
2017.9407230902752,1652486400000,2022-05-14 00:00:00+00:00,ethereum
2063.4771381647224,1652572800000,2022-05-15 00:00:00+00:00,ethereum
2040.4386150735888,1652659200000,2022-05-16 00:00:00+00:00,ethereum
2067.386182455632,1652745600000,2022-05-17 00:00:00+00:00,ethereum
2009.268155171197,1652832000000,2022-05-18 00:00:00+00:00,ethereum
1969.9482817430207,1652918400000,2022-05-19 00:00:00+00:00,ethereum
1999.6398156877217,1653004800000,2022-05-20 00:00:00+00:00,ethereum
1970.4664456405333,1653091200000,2022-05-21 00:00:00+00:00,ethereum
2001.426362667053,1653177600000,2022-05-22 00:00:00+00:00,ethereum
2038.93589620906,1653264000000,2022-05-23 00:00:00+00:00,ethereum
1969.6850755491064,1653350400000,2022-05-24 00:00:00+00:00,ethereum
1971.542021553308,1653436800000,2022-05-25 00:00:00+00:00,ethereum
1873.256729098336,1653523200000,2022-05-26 00:00:00+00:00,ethereum
1762.1257761303764,1653609600000,2022-05-27 00:00:00+00:00,ethereum
1770.6818672587572,1653696000000,2022-05-28 00:00:00+00:00,ethereum
1792.9053393862655,1653782400000,2022-05-29 00:00:00+00:00,ethereum
1904.0101447962008,1653868800000,2022-05-30 00:00:00+00:00,ethereum
1967.1862942115188,1653955200000,2022-05-31 00:00:00+00:00,ethereum
1898.6140707987036,1654041600000,2022-06-01 00:00:00+00:00,ethereum
1821.765712825724,1654128000000,2022-06-02 00:00:00+00:00,ethereum
1788.265833157645,1654214400000,2022-06-03 00:00:00+00:00,ethereum
1773.07367673726,1654300800000,2022-06-04 00:00:00+00:00,ethereum
1799.1451150220616,1654387200000,2022-06-05 00:00:00+00:00,ethereum
1874.8678077307943,1654473600000,2022-06-06 00:00:00+00:00,ethereum
1778.8676825562577,1654560000000,2022-06-07 00:00:00+00:00,ethereum
1803.0580990692272,1654646400000,2022-06-08 00:00:00+00:00,ethereum
1797.886870180518,1654732800000,2022-06-09 00:00:00+00:00,ethereum
1741.9175133646256,1654819200000,2022-06-10 00:00:00+00:00,ethereum
1597.2207449975483,1654905600000,2022-06-11 00:00:00+00:00,ethereum
1482.3332795010656,1654992000000,2022-06-12 00:00:00+00:00,ethereum
1271.8477647542736,1655078400000,2022-06-13 00:00:00+00:00,ethereum
1195.0977820472751,1655164800000,2022-06-14 00:00:00+00:00,ethereum
1137.8661672191265,1655251200000,2022-06-15 00:00:00+00:00,ethereum
1143.9383306047287,1655337600000,2022-06-16 00:00:00+00:00,ethereum
1086.822426484675,1655424000000,2022-06-17 00:00:00+00:00,ethereum
1019.3897359861014,1655510400000,2022-06-18 00:00:00+00:00,ethereum
1034.6066946322635,1655596800000,2022-06-19 00:00:00+00:00,ethereum
1105.533628891774,1655683200000,2022-06-20 00:00:00+00:00,ethereum
1144.5562671153016,1655769600000,2022-06-21 00:00:00+00:00,ethereum
1086.8325514409796,1655856000000,2022-06-22 00:00:00+00:00,ethereum
1099.7749978836289,1655942400000,2022-06-23 00:00:00+00:00,ethereum
1182.4406405674008,1656028800000,2022-06-24 00:00:00+00:00,ethereum
1217.7046028028851,1656115200000,2022-06-25 00:00:00+00:00,ethereum
1232.7876904253076,1656201600000,2022-06-26 00:00:00+00:00,ethereum
1209.1480674852655,1656288000000,2022-06-27 00:00:00+00:00,ethereum
1190.0842584677057,1656374400000,2022-06-28 00:00:00+00:00,ethereum
1122.5895334361205,1656460800000,2022-06-29 00:00:00+00:00,ethereum
1046.5900137601786,1656547200000,2022-06-30 00:00:00+00:00,ethereum
1065.506869833289,1656633600000,2022-07-01 00:00:00+00:00,ethereum
1053.187096391476,1656720000000,2022-07-02 00:00:00+00:00,ethereum
1061.5510954636268,1656806400000,2022-07-03 00:00:00+00:00,ethereum
1088.3736627972196,1656892800000,2022-07-04 00:00:00+00:00,ethereum
1141.820396770465,1657065600000,2022-07-06 00:00:00+00:00,ethereum
1198.7088996615355,1657152000000,2022-07-07 00:00:00+00:00,ethereum
1233.9433687270832,1657238400000,2022-07-08 00:00:00+00:00,ethereum
1218.3459729561494,1657324800000,2022-07-09 00:00:00+00:00,ethereum
1182.6641032342636,1657411200000,2022-07-10 00:00:00+00:00,ethereum
1142.623573593638,1657497600000,2022-07-11 00:00:00+00:00,ethereum
1070.3341852285066,1657584000000,2022-07-12 00:00:00+00:00,ethereum
1066.5015937931576,1657670400000,2022-07-13 00:00:00+00:00,ethereum
1125.8902632443032,1657756800000,2022-07-14 00:00:00+00:00,ethereum
1218.9545272893695,1657843200000,2022-07-15 00:00:00+00:00,ethereum
1256.2262623114336,1657929600000,2022-07-16 00:00:00+00:00,ethereum
1351.0803309254384,1658016000000,2022-07-17 00:00:00+00:00,ethereum
1456.57246161121,1658102400000,2022-07-18 00:00:00+00:00,ethereum
1545.0851762254165,1658188800000,2022-07-19 00:00:00+00:00,ethereum
1560.4846009603334,1658275200000,2022-07-20 00:00:00+00:00,ethereum
1522.7856563166044,1658361600000,2022-07-21 00:00:00+00:00,ethereum
1583.8070059811855,1658448000000,2022-07-22 00:00:00+00:00,ethereum
1544.31567837773,1658534400000,2022-07-23 00:00:00+00:00,ethereum
1594.809453210432,1658620800000,2022-07-24 00:00:00+00:00,ethereum
1523.499121486228,1658707200000,2022-07-25 00:00:00+00:00,ethereum
1404.633052383584,1658793600000,2022-07-26 00:00:00+00:00,ethereum
1496.1055978969096,1658880000000,2022-07-27 00:00:00+00:00,ethereum
1667.271126513613,1658966400000,2022-07-28 00:00:00+00:00,ethereum
1715.09588350147,1659052800000,2022-07-29 00:00:00+00:00,ethereum
1711.0306909841593,1659139200000,2022-07-30 00:00:00+00:00,ethereum
1702.8460473996713,1659225600000,2022-07-31 00:00:00+00:00,ethereum
1664.236817284626,1659312000000,2022-08-01 00:00:00+00:00,ethereum
1611.882218139706,1659398400000,2022-08-02 00:00:00+00:00,ethereum
1641.468943155943,1659484800000,2022-08-03 00:00:00+00:00,ethereum
1620.549877967252,1659571200000,2022-08-04 00:00:00+00:00,ethereum
1670.6565218670269,1659657600000,2022-08-05 00:00:00+00:00,ethereum
1717.2863314624403,1659744000000,2022-08-06 00:00:00+00:00,ethereum
1694.1913881607363,1659830400000,2022-08-07 00:00:00+00:00,ethereum
1755.345401151277,1659916800000,2022-08-08 00:00:00+00:00,ethereum
1731.132596942609,1660003200000,2022-08-09 00:00:00+00:00,ethereum
1756.9203140347981,1660089600000,2022-08-10 00:00:00+00:00,ethereum
1890.2540964929267,1660176000000,2022-08-11 00:00:00+00:00,ethereum
1897.01590473274,1660262400000,2022-08-12 00:00:00+00:00,ethereum
1983.684757268279,1660348800000,2022-08-13 00:00:00+00:00,ethereum
1973.6503058857627,1660435200000,2022-08-14 00:00:00+00:00,ethereum
1921.8882349099783,1660521600000,2022-08-15 00:00:00+00:00,ethereum
1885.2748737506804,1660608000000,2022-08-16 00:00:00+00:00,ethereum
1871.2243494568668,1660694400000,2022-08-17 00:00:00+00:00,ethereum
1858.441964768476,1660780800000,2022-08-18 00:00:00+00:00,ethereum
1736.7997331710828,1660867200000,2022-08-19 00:00:00+00:00,ethereum
1620.305065038376,1660953600000,2022-08-20 00:00:00+00:00,ethereum
1609.1527257239454,1661040000000,2022-08-21 00:00:00+00:00,ethereum
1581.9245574859842,1661126400000,2022-08-22 00:00:00+00:00,ethereum
1625.7713849335885,1661212800000,2022-08-23 00:00:00+00:00,ethereum
1650.7567007380806,1661299200000,2022-08-24 00:00:00+00:00,ethereum
1696.2158646268822,1661385600000,2022-08-25 00:00:00+00:00,ethereum
1629.71578394408,1661472000000,2022-08-26 00:00:00+00:00,ethereum
1493.4182756013477,1661558400000,2022-08-27 00:00:00+00:00,ethereum
1487.4482171022764,1661644800000,2022-08-28 00:00:00+00:00,ethereum
1486.5951425659548,1661731200000,2022-08-29 00:00:00+00:00,ethereum
1552.869573448674,1661817600000,2022-08-30 00:00:00+00:00,ethereum
1577.3905277025135,1661904000000,2022-08-31 00:00:00+00:00,ethereum
1558.757618871227,1661990400000,2022-09-01 00:00:00+00:00,ethereum
1593.0769808816365,1662076800000,2022-09-02 00:00:00+00:00,ethereum
1557.9613044892517,1662163200000,2022-09-03 00:00:00+00:00,ethereum
1560.1930266927627,1662249600000,2022-09-04 00:00:00+00:00,ethereum
1580.4750056171836,1662336000000,2022-09-05 00:00:00+00:00,ethereum
1635.000186199445,1662422400000,2022-09-06 00:00:00+00:00,ethereum
1547.946326433915,1662508800000,2022-09-07 00:00:00+00:00,ethereum
1630.5874626195018,1662595200000,2022-09-08 00:00:00+00:00,ethereum
1700.3620496434064,1662681600000,2022-09-09 00:00:00+00:00,ethereum
1735.36473252672,1662768000000,2022-09-10 00:00:00+00:00,ethereum
1769.5191020867544,1662854400000,2022-09-11 00:00:00+00:00,ethereum
1735.2038953671704,1662940800000,2022-09-12 00:00:00+00:00,ethereum
1662.8622953924405,1663027200000,2022-09-13 00:00:00+00:00,ethereum
